Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CTY00 (Cash)",66.3,-0.51000000000001,0,66.3,66.3,66.81,0,0,12/31/19
"CTH20 (Mar '20)",69.27,0.22,69.12,69.74,69.04,69.05,21477,120663,01/02/20
"CTK20 (May '20)",70.45,0.27,70.43,70.86,70.14,70.18,6818,49204,01/02/20
"CTN20 (Jul '20)",71.34,0.39,71.23,71.6,70.94,70.95,3350,21379,01/02/20
"CTV20 (Oct '20)",71.54,0.64,0,71.54,71.54,70.9,0,14,01/02/20
"CTZ20 (Dec '20)",71.23,0.87,70.7,71.31,70.39,70.36,2314,28252,01/02/20
"CTH21 (Mar '21)",71.88,1.08,71.13,71.9,71.13,70.8,180,1335,01/02/20
"CTK21 (May '21)",71.65,0.76000000000001,71.39,71.65,71.39,70.89,15,218,01/02/20
"CTN21 (Jul '21)",71.47,0.48,71.49,71.49,71.39,70.99,12,500,01/02/20
"CTV21 (Oct '21)",70.92,0.43000000000001,0,70.92,70.92,70.49,0,0,01/02/20
"CTZ21 (Dec '21)",70.32,0.33,70.2,70.32,70.2,69.99,1,230,01/02/20
"CTH22 (Mar '22)",68.87,0.38000000000001,0,68.87,68.87,68.49,0,2,01/02/20
"CTK22 (May '22)",68.67,0.33,0,68.67,68.67,68.34,0,0,01/02/20
"CTN22 (Jul '22)",68.52,0.28,0,68.52,68.52,68.24,0,0,01/02/20
"CTV22 (Oct '22)",68.27,0.22999999999999,0,68.27,68.27,68.04,0,0,01/02/20
"Downloaded from Barchart.com as of 01-02-2020 07:25pm CST"
