Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLY00 (Cash)",61.15,0.05,0,61.15,61.15,61.1,0,0,01/02/20
"CLG20 (Feb '20)",61.33,0.15,61.18,61.35,61.13,61.18,5463,407628,"19:14 CT"
"CLH20 (Mar '20)",61.11,0.16,60.96,61.12,60.91,60.95,721,273318,"19:14 CT"
"CLJ20 (Apr '20)",60.8,0.16,60.64,60.8,60.61,60.64,237,121219,"19:14 CT"
"CLK20 (May '20)",60.37,0.13,60.22,60.37,60.22,60.24,21241,121743,"19:09 CT"
"CLM20 (Jun '20)",59.91,0.14,59.77,59.91,59.75,59.77,34727,209217,"19:09 CT"
"CLN20 (Jul '20)",59.25,0.38,59.15,59.34,58.72,58.87,15779,74477,01/02/20
"CLQ20 (Aug '20)",58.85,0.13,58.85,58.85,58.85,58.72,6,0,"19:09 CT"
"CLU20 (Sep '20)",58.21,0,58.21,58.21,58.21,58.21,72,0,"19:09 CT"
"CLV20 (Oct '20)",57.74,0.45,57.66,57.82,57.22,57.29,4122,61055,01/02/20
"CLX20 (Nov '20)",57.44,0.13,57.31,57.44,57.31,57.31,26,0,"19:09 CT"
"CLZ20 (Dec '20)",57.06,0.16,56.92,57.06,56.9,56.9,196,233088,"19:11 CT"
"CLF21 (Jan '21)",56.49,0.46,56.2,56.49,56.11,56.03,2113,45105,01/02/20
"CLG21 (Feb '21)",56.11,0.45,55.79,56.16,55.55,55.66,3833,24641,01/02/20
"CLH21 (Mar '21)",55.76,0.44,55.69,55.76,55.39,55.32,4311,33596,01/02/20
"CLJ21 (Apr '21)",55.44,0.44,0,55.44,55.44,55,2535,14490,01/02/20
"CLK21 (May '21)",55.15,0.45,0,55.15,55.15,54.7,1286,12094,01/02/20
"CLM21 (Jun '21)",54.88,0.44,54.63,54.96,54.4,54.44,8657,61361,01/02/20
"CLN21 (Jul '21)",54.59,0.44,0,54.59,54.59,54.15,155,13929,01/02/20
"CLQ21 (Aug '21)",54.32,0.44,0,54.32,54.32,53.88,114,7039,01/02/20
"CLU21 (Sep '21)",54.08,0.44,0,54.08,54.08,53.64,166,14122,01/02/20
"CLV21 (Oct '21)",53.87,0.44,0,53.87,53.87,53.43,16,6559,01/02/20
"CLX21 (Nov '21)",53.68,0.44,0,53.68,53.68,53.24,0,5014,01/02/20
"CLZ21 (Dec '21)",53.59,0.08,53.54,53.59,53.54,53.51,8569,74578,"19:08 CT"
"CLF22 (Jan '22)",53.28,0.43,0,53.28,53.28,52.85,46,5116,01/02/20
"CLG22 (Feb '22)",53.07,0.42,0,53.07,53.07,52.65,0,4648,01/02/20
"CLH22 (Mar '22)",52.89,0.41,0,52.89,52.89,52.48,0,6984,01/02/20
"CLJ22 (Apr '22)",52.74,0.4,0,52.74,52.74,52.34,0,2244,01/02/20
"CLK22 (May '22)",52.62,0.41,0,52.62,52.62,52.21,0,2354,01/02/20
"CLM22 (Jun '22)",52.51,0.41,52.07,52.51,52.07,52.1,246,26768,01/02/20
"CLN22 (Jul '22)",52.38,0.41,0,52.38,52.38,51.97,0,2805,01/02/20
"CLQ22 (Aug '22)",52.26,0.4,0,52.26,52.26,51.86,0,2710,01/02/20
"CLU22 (Sep '22)",52.16,0.4,0,52.16,52.16,51.76,0,2119,01/02/20
"CLV22 (Oct '22)",52.08,0.4,0,52.08,52.08,51.68,0,2978,01/02/20
"CLX22 (Nov '22)",52.02,0.4,0,52.02,52.02,51.62,0,3636,01/02/20
"CLZ22 (Dec '22)",51.97,0.39,52.04,52.04,51.59,51.58,1470,36336,01/02/20
"CLF23 (Jan '23)",51.85,0.37,0,51.85,51.85,51.48,0,4132,01/02/20
"CLG23 (Feb '23)",51.76,0.36,0,51.76,51.76,51.4,0,289,01/02/20
"CLH23 (Mar '23)",51.7,0.35,0,51.7,51.7,51.35,0,701,01/02/20
"CLJ23 (Apr '23)",51.67,0.35,0,51.67,51.67,51.32,0,251,01/02/20
"CLK23 (May '23)",51.67,0.37,0,51.67,51.67,51.3,0,1,01/02/20
"CLM23 (Jun '23)",51.68,0.38,0,51.68,51.68,51.3,204,2912,01/02/20
"CLN23 (Jul '23)",51.65,0.38,0,51.65,51.65,51.27,0,1,01/02/20
"CLQ23 (Aug '23)",51.63,0.38,0,51.63,51.63,51.25,0,200,01/02/20
"CLU23 (Sep '23)",51.63,0.38,0,51.63,51.63,51.25,0,400,01/02/20
"CLV23 (Oct '23)",51.64,0.38,0,51.64,51.64,51.26,0,200,01/02/20
"CLX23 (Nov '23)",51.66,0.38,0,51.66,51.66,51.28,0,252,01/02/20
"CLZ23 (Dec '23)",51.69,0.38,51.64,51.74,51.33,51.31,271,14052,01/02/20
"CLF24 (Jan '24)",51.67,0.38,0,51.67,51.67,51.29,0,318,01/02/20
"CLG24 (Feb '24)",51.65,0.37,0,51.65,51.65,51.28,0,66,01/02/20
"CLH24 (Mar '24)",51.67,0.37,0,51.67,51.67,51.3,0,66,01/02/20
"CLJ24 (Apr '24)",51.68,0.37,0,51.68,51.68,51.31,0,66,01/02/20
