Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"GCY00 (Cash)",1551.11,22.34,1528.8,1551.51,1527.95,1528.77,,,"15:48 CT"
"GCG20 (Feb '20)",1553.9,25.8,1531.7,1556.6,1530.4,1528.1,419701,546386,"15:48 CT"
"GCH20 (Mar '20)",1557.4,26,1535.2,1558.3,1535.2,1531.4,268,29,"15:48 CT"
"GCJ20 (Apr '20)",1560.7,26.4,1537.9,1562.2,1536.7,1534.3,17657,134125,"15:48 CT"
"GCM20 (Jun '20)",1565.1,25,1543.9,1567.6,1543.9,1540.1,4235,62124,"15:29 CT"
"GCQ20 (Aug '20)",1570.3,24.7,1549.5,1571.6,1549.5,1545.6,2032,19921,"15:29 CT"
"GCV20 (Oct '20)",1572.8,22.3,1563.3,1572.8,1562.4,1550.5,915,7318,"14:31 CT"
"GCZ20 (Dec '20)",1580.5,25.3,1561.6,1583.6,1561.6,1555.2,4711,13264,"15:41 CT"
"GCG21 (Feb '21)",1586.8,27.1,1566,1586.8,1566,1559.7,1556,738,"12:37 CT"
"GCJ21 (Apr '21)",1588.6,24.6,1591,1592.1,1588.6,1564,209,37,"12:41 CT"
"GCM21 (Jun '21)",1592.2,24.3,0,1592.2,1592.2,1567.9,1,0,"12:30 CT"
"GCQ21 (Aug '21)",1596.4,24.3,0,1596.4,1596.4,1572.1,0,0,"12:30 CT"
"GCV21 (Oct '21)",1600.3,24.3,0,1600.3,1600.3,1576,0,0,"12:30 CT"
"GCZ21 (Dec '21)",1602.5,22.5,1594.9,1602.5,1594.9,1580,5,832,"15:29 CT"
"GCM22 (Jun '22)",1613.2,24.3,0,1613.2,1613.2,1588.9,0,0,"12:30 CT"
"GCZ22 (Dec '22)",1622.1,24.3,0,1622.1,1597,1597.8,0,0,"12:30 CT"
"GCM23 (Jun '23)",1631.5,24.3,0,1631.5,1631.5,1607.2,0,0,"12:30 CT"
"GCZ23 (Dec '23)",1640.8,24.3,0,1640.8,1640.8,1616.5,0,0,"12:30 CT"
"GCM24 (Jun '24)",1650.3,24.3,0,1650.3,1650.3,1626,0,0,"12:30 CT"
"GCZ24 (Dec '24)",1659.4,24.3,0,1659.4,1659.4,1635.1,0,0,"12:30 CT"
"GCM25 (Jun '25)",1668.2,24.3,0,1668.2,1668.2,1643.9,0,0,"12:30 CT"
"GCZ25 (Dec '25)",1677.3,24.3,0,1677.3,1677.3,1653,0,0,"12:30 CT"
"Downloaded from Barchart.com as of 01-03-2020 03:58pm CST"
