Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"LEY00 (Cash)",122,0,0,122,122,122,0,0,12/31/19
"LEG20 (Feb '20)",125.775,-0.14999999999999,126,126.325,124.55,125.925,27130,160512,01/02/20
"LEJ20 (Apr '20)",126.475,-0.7,127.15,127.425,125.4,127.175,17882,92697,01/02/20
"LEM20 (Jun '20)",118.7,-0.2,118.95,119.2,117.7,118.9,11058,81870,01/02/20
"LEQ20 (Aug '20)",116.35,-0.125,116.5,116.75,115.3,116.475,6734,28695,01/02/20
"LEV20 (Oct '20)",118.225,-0.30000000000001,118.475,118.65,117.125,118.525,2188,9292,01/02/20
"LEZ20 (Dec '20)",120.7,-0.125,120.9,121,119.45,120.825,754,3549,01/02/20
"LEG21 (Feb '21)",122.2,-0.075000000000003,122.525,122.625,121.475,122.275,64,1697,01/02/20
"LEJ21 (Apr '21)",122.65,-0.099999999999994,123.2,123.25,121.45,122.75,65,654,01/02/20
"LEM21 (Jun '21)",120.225,-3,0,120.225,120.225,123.225,0,0,01/02/20
"Downloaded from Barchart.com as of 01-02-2020 07:24pm CST"
