,open,high,low,close,volume,symbol
2020-05-22,35.98,36.44,35.47,35.55,17978620.0,GDX
2020-05-21,36.14,36.22,34.76,35.66,33149880.0,GDX
2020-05-20,37.36,37.49,36.45,36.61,29978639.0,GDX
2020-05-19,36.52,37.4901,36.38,37.21,36697694.0,GDX
2020-05-18,37.15,37.2,35.72,35.93,33127151.0,GDX
2020-05-15,35.96,36.68,35.61,36.57,38438314.0,GDX
2020-05-14,34.06,35.45,34.0,35.16,33700793.0,GDX
2020-05-13,34.34,34.69,33.42,34.08,33262616.0,GDX
2020-05-12,34.34,34.95,33.69,33.84,20986663.0,GDX
2020-05-11,34.92,35.045,33.55,33.89,28709018.0,GDX
2020-05-08,34.97,35.56,34.58,34.86,28609454.0,GDX
2020-05-07,34.09,35.495,33.875,35.03,35038021.0,GDX
2020-05-06,34.2,34.51,33.62,33.7,29066200.0,GDX
2020-05-05,33.91,34.91,33.37,34.79,30258932.0,GDX
2020-05-04,33.76,34.2525,33.52,33.99,34373842.0,GDX
2020-05-01,31.48,33.39,31.31,33.29,33961150.0,GDX
2020-04-30,33.18,33.835,32.15,32.26,52234203.0,GDX
2020-04-29,33.45,34.07,32.82,34.03,36834873.0,GDX
2020-04-28,33.5165,33.98,32.98,33.81,31603536.0,GDX
2020-04-27,33.95,34.21,32.93,33.79,30442886.0,GDX
2020-04-24,34.02,34.305,32.96,33.93,40568056.0,GDX
2020-04-23,33.21,34.74,33.0103,33.42,56311394.0,GDX
2020-04-22,31.54,32.64,31.5,32.51,40902871.0,GDX
2020-04-21,29.68,30.87,29.55,30.56,22398245.0,GDX
2020-04-20,29.98,31.13,29.9798,30.74,25473480.0,GDX
2020-04-17,29.76,30.42,29.67,29.94,29244232.0,GDX
2020-04-16,30.42,31.13,30.04,30.92,37894601.0,GDX
2020-04-15,29.69,30.85,29.37,30.15,31904034.0,GDX
2020-04-14,31.1201,32.27,30.025,30.75,59323949.0,GDX
2020-04-13,28.65,31.07,27.91,30.78,59870968.0,GDX
2020-04-09,27.2,28.97,27.09,28.95,68480176.0,GDX
2020-04-08,26.17,26.53,25.83,26.2,17474940.0,GDX
2020-04-07,26.61,26.76,25.78,26.09,31197808.0,GDX
2020-04-06,26.01,26.695,25.54,26.34,62265464.0,GDX
2020-04-03,25.1525,25.8755,24.74,24.95,33766628.0,GDX
2020-04-02,24.59,25.72,24.37,25.04,39829372.0,GDX
2020-04-01,23.0263,24.26,23.0,24.03,33891252.0,GDX
2020-03-31,23.6,24.4299,23.03,23.04,45090415.0,GDX
2020-03-30,24.39,25.3299,23.14,23.93,63031091.0,GDX
2020-03-27,25.15,25.67,23.725,24.37,94443746.0,GDX
2020-03-26,26.69,27.21,25.22,25.85,47415634.0,GDX
2020-03-25,25.39,27.0,24.55,26.31,102519839.0,GDX
2020-03-24,24.93,26.07,23.79,25.15,127810696.0,GDX
2020-03-23,21.63,23.29,21.12,21.93,93755574.0,GDX
2020-03-20,22.5992,22.85,20.34,20.55,68298709.0,GDX
2020-03-19,20.65,24.98,19.29,21.27,103137924.0,GDX
2020-03-18,24.12,25.04,19.68,19.68,189826120.0,GDX
2020-03-17,22.11,25.5,22.02,25.5,112724248.0,GDX
2020-03-16,16.75,22.95,16.18,22.49,199824948.0,GDX
2020-03-13,23.29,23.4,16.5,19.0,190506431.0,GDX
2020-03-12,22.99,24.89,22.0,22.31,106132942.0,GDX
2020-03-11,27.045,27.25,25.04,25.17,119333717.0,GDX
2020-03-10,27.74,28.03,26.5,27.49,82665306.0,GDX
2020-03-09,28.38,28.715,27.26,27.31,87558334.0,GDX
2020-03-06,29.91,29.965,28.45,29.41,81215922.0,GDX
2020-03-05,29.47,29.84,28.96,29.82,68231410.0,GDX
2020-03-04,29.03,29.18,28.28,29.13,55011948.0,GDX
2020-03-03,27.82,29.61,27.46,28.68,130233894.0,GDX
2020-03-02,27.09,27.47,26.7,27.29,83731981.0,GDX
2020-02-28,26.8,27.04,25.43,26.22,166813520.0,GDX
2020-02-27,30.32,30.4,28.14,28.15,125071277.0,GDX
2020-02-26,29.9,30.28,29.67,29.87,49304941.0,GDX
2020-02-25,30.48,31.16,29.91,29.97,91147288.0,GDX
2020-02-24,31.84,31.84,30.66,31.05,87054931.0,GDX
2020-02-21,30.27,30.71,30.18,30.65,76560799.0,GDX
2020-02-20,29.66,30.1,29.5,29.75,52284038.0,GDX
2020-02-19,29.39,29.79,29.2,29.75,45453945.0,GDX
2020-02-18,28.59,29.25,28.38,29.23,64678079.0,GDX
2020-02-14,28.34,28.47,28.19,28.31,22882310.0,GDX
2020-02-13,28.37,28.59,28.2099,28.32,29919414.0,GDX
2020-02-12,28.34,28.41,28.08,28.12,33293453.0,GDX
2020-02-11,28.32,28.53,28.07,28.43,24584384.0,GDX
2020-02-10,28.19,28.51,28.02,28.39,34708207.0,GDX
2020-02-07,28.57,28.67,27.92,27.93,40412802.0,GDX
2020-02-06,28.27,28.51,28.11,28.4,37343703.0,GDX
2020-02-05,28.02,28.345,27.91,28.05,41431500.0,GDX
2020-02-04,28.2,28.28,27.77,28.05,62975497.0,GDX
2020-02-03,28.81,28.895,28.4,28.56,42318198.0,GDX
2020-01-31,28.8,29.235,28.76,28.99,41945196.0,GDX
2020-01-30,28.9,29.08,28.5995,28.73,39856552.0,GDX
2020-01-29,28.3,28.9,28.23,28.86,37938316.0,GDX
2020-01-28,28.8,28.97,28.28,28.31,55716419.0,GDX
2020-01-27,29.62,29.66,28.91,29.08,38187620.0,GDX
2020-01-24,28.61,29.3,28.61,29.22,44492647.0,GDX
2020-01-23,28.66,29.1,28.59,28.66,41306288.0,GDX
2020-01-22,28.8901,28.99,28.6504,28.84,21312038.0,GDX
2020-01-21,28.2743,28.969,28.2,28.95,48078663.0,GDX
2020-01-17,28.75,28.775,28.3,28.42,43777382.0,GDX
2020-01-16,28.6,28.71,28.36,28.67,37951490.0,GDX
2020-01-15,28.39,28.865,28.17,28.79,50455374.0,GDX
2020-01-14,27.71,28.31,27.68,28.26,56946795.0,GDX
2020-01-13,28.32,28.32,27.75,27.77,48707510.0,GDX
2020-01-10,28.15,28.56,28.12,28.45,38631620.0,GDX
2020-01-09,28.11,28.419,28.0,28.04,60554580.0,GDX
2020-01-08,29.3687,29.43,28.12,28.35,94310730.0,GDX
2020-01-07,29.21,29.52,29.02,29.5,39223378.0,GDX
2020-01-06,29.74,29.785,29.01,29.22,45479486.0,GDX
2020-01-03,29.85,29.87,29.01,29.17,47397994.0,GDX
2020-01-02,29.62,29.72,29.11,29.35,40700297.0,GDX
2019-12-31,29.74,29.76,29.26,29.28,32772356.0,GDX
2019-12-30,28.9479,29.49,28.9,29.49,62679283.0,GDX
2019-12-27,29.01,29.15,28.71,28.87,37730928.0,GDX
2019-12-26,28.9,29.25,28.75,29.08,57566987.0,GDX
2019-12-24,27.92,28.66,27.89,28.66,70679135.0,GDX
