,open,high,low,close,volume,symbol
2020-05-22,80.95,81.33,80.805,81.23,11311918.0,HYG
2020-05-21,81.03,81.2252,80.795,81.03,23307267.0,HYG
2020-05-20,80.62,81.25,80.55,81.05,36053715.0,HYG
2020-05-19,80.04,80.43,79.89,80.2,18536498.0,HYG
2020-05-18,79.96,80.16,79.66,80.1,31900248.0,HYG
2020-05-15,78.37,78.84,78.17,78.71,34133020.0,HYG
2020-05-14,78.46,78.9,77.98,78.6,30429082.0,HYG
2020-05-13,79.35,79.42,78.74,78.87,29961448.0,HYG
2020-05-12,79.91,80.0,79.29,79.29,25330470.0,HYG
2020-05-11,79.58,79.72,79.34,79.39,14258893.0,HYG
2020-05-08,79.33,79.76,79.27,79.75,21801989.0,HYG
2020-05-07,79.2,79.71,78.97,79.0,19581670.0,HYG
2020-05-06,79.33,79.425,78.77,78.8,18823272.0,HYG
2020-05-05,78.82,79.25,78.815,79.25,26484133.0,HYG
2020-05-04,78.53,78.87,78.2,78.57,20400218.0,HYG
2020-05-01,79.34,79.54,78.61,78.68,31762684.0,HYG
2020-04-30,79.85,80.56,79.53,80.43,33664911.0,HYG
2020-04-29,79.43,80.36,79.27,80.27,34837644.0,HYG
2020-04-28,79.07,79.12,78.445,78.88,23926866.0,HYG
2020-04-27,78.7,78.9296,78.51,78.64,20550707.0,HYG
2020-04-24,79.12,79.23,78.16,78.32,37915244.0,HYG
2020-04-23,79.25,79.66,78.73,79.06,23895310.0,HYG
2020-04-22,79.26,79.37,78.84,79.1,15714973.0,HYG
2020-04-21,78.96,79.06,78.25,78.41,42331245.0,HYG
2020-04-20,80.29,80.79,79.72,79.87,24669956.0,HYG
2020-04-17,81.32,81.4,80.85,81.09,31786456.0,HYG
2020-04-16,80.56,80.75,79.93,80.68,25815472.0,HYG
2020-04-15,80.25,80.91,79.96,80.76,34206497.0,HYG
2020-04-14,81.91,82.09,80.97,81.52,37631539.0,HYG
2020-04-13,81.81,81.92,80.42,81.18,40341249.0,HYG
2020-04-09,81.97,84.05,81.49,82.36,88755608.0,HYG
2020-04-08,75.96,77.63,75.6903,77.3,46232111.0,HYG
2020-04-07,76.43,76.72,75.24,75.34,35104819.0,HYG
2020-04-06,75.06,75.56,74.81,75.34,32320675.0,HYG
2020-04-03,75.0,75.2,73.32,73.55,39985045.0,HYG
2020-04-02,74.37,76.3,74.23,75.16,31817293.0,HYG
2020-04-01,75.18,75.27,74.37,74.58,36821724.0,HYG
2020-03-31,77.37,77.71,76.98,77.07,31023137.0,HYG
2020-03-30,77.1,78.04,76.64,77.69,35007848.0,HYG
2020-03-27,75.44,78.37,75.36,77.03,66533780.0,HYG
2020-03-26,74.01,76.83,73.7,76.83,43437042.0,HYG
2020-03-25,72.25,75.57,72.08,73.47,45645105.0,HYG
2020-03-24,70.09,71.95,69.9,71.46,51303975.0,HYG
2020-03-23,70.05,70.12,67.52,68.63,48851328.0,HYG
2020-03-20,71.41,72.14,69.41,69.75,50293969.0,HYG
2020-03-19,71.86,72.67,70.77,71.35,45686272.0,HYG
2020-03-18,73.85,74.75,71.91,72.99,54251604.0,HYG
2020-03-17,75.55,77.7,74.63,76.36,68303089.0,HYG
2020-03-16,75.72,77.65,74.3,75.65,43040579.0,HYG
2020-03-13,80.13,80.275,78.14,80.05,69377528.0,HYG
2020-03-12,76.38,80.25,76.23,77.61,82329896.0,HYG
2020-03-11,81.25,81.685,80.2,80.84,60006610.0,HYG
2020-03-10,82.62,82.87,81.13,82.64,57536362.0,HYG
2020-03-09,79.64,83.49,79.64,81.39,73582045.0,HYG
2020-03-06,84.53,85.28,84.09,85.05,69819282.0,HYG
2020-03-05,86.36,86.51,85.8501,86.02,62451975.0,HYG
2020-03-04,86.66,87.16,86.59,87.12,52590783.0,HYG
2020-03-03,86.38,87.19,85.74,85.94,58562311.0,HYG
2020-03-02,85.64,86.4,85.225,86.31,72323216.0,HYG
2020-02-28,84.69,86.145,84.69,86.04,97772553.0,HYG
2020-02-27,86.13,86.69,85.52,85.69,73094971.0,HYG
2020-02-26,86.93,87.25,86.595,86.86,69857293.0,HYG
2020-02-25,87.76,87.81,86.69,86.77,68415108.0,HYG
2020-02-24,87.5,87.6,87.2,87.38,57813111.0,HYG
2020-02-21,88.34,88.38,88.16,88.33,23026972.0,HYG
2020-02-20,88.32,88.44,88.06,88.41,31271611.0,HYG
2020-02-19,88.31,88.37,88.25,88.26,18547480.0,HYG
2020-02-18,88.35,88.4,88.145,88.22,26635293.0,HYG
2020-02-14,88.475,88.49,88.35,88.4,11398835.0,HYG
2020-02-13,88.31,88.46,88.29,88.41,13178412.0,HYG
2020-02-12,88.325,88.46,88.26,88.38,26688211.0,HYG
2020-02-11,88.27,88.28,88.15,88.15,16819496.0,HYG
2020-02-10,87.95,88.1,87.88,88.09,14219979.0,HYG
2020-02-07,87.99,88.045,87.88,87.97,12853392.0,HYG
2020-02-06,88.0,88.15,87.87,88.1,18329861.0,HYG
2020-02-05,87.88,88.06,87.835,88.03,35937674.0,HYG
2020-02-04,87.5,87.69,87.48,87.67,25063198.0,HYG
2020-02-03,87.325,87.465,87.125,87.15,27161118.0,HYG
2020-01-31,87.8,87.8,87.39,87.53,35659703.0,HYG
2020-01-30,87.51,87.91,87.5,87.89,20045836.0,HYG
2020-01-29,87.97,88.2338,87.78,87.8,17308246.0,HYG
2020-01-28,87.5,87.96,87.39,87.85,32567721.0,HYG
2020-01-27,87.24,87.38,86.96,87.1,41371498.0,HYG
2020-01-24,88.07,88.07,87.645,87.69,40838279.0,HYG
2020-01-23,88.18,88.2,88.02,88.06,28549204.0,HYG
2020-01-22,88.31,88.37,88.23,88.33,17699787.0,HYG
2020-01-21,88.34,88.43,88.17,88.17,19195721.0,HYG
2020-01-17,88.48,88.51,88.36,88.36,29626660.0,HYG
2020-01-16,88.47,88.53,88.38,88.43,22329107.0,HYG
