,open,high,low,close,volume,symbol
2020-05-22,134.67,135.05,133.02,134.89,24004529.0,IWM
2020-05-21,134.05,135.06,132.5787,134.24,32592714.0,IWM
2020-05-20,132.73,134.98,132.3826,134.0,35793511.0,IWM
2020-05-19,132.22,133.45,130.055,130.06,30003675.0,IWM
2020-05-18,131.45,133.39,130.83,132.68,46973061.0,IWM
2020-05-15,122.01,125.53,121.46,125.08,40229328.0,IWM
2020-05-14,119.97,123.27,117.18,123.12,55807942.0,IWM
2020-05-13,125.65,126.08,120.41,122.72,58595371.0,IWM
2020-05-12,132.26,132.29,126.84,126.97,44039719.0,IWM
2020-05-11,130.41,132.95,129.332,131.7,34183847.0,IWM
2020-05-08,130.16,132.75,129.19,132.36,32102565.0,IWM
2020-05-07,127.39,128.5,126.55,127.44,27370184.0,IWM
2020-05-06,127.49,128.2,125.0,125.72,29670096.0,IWM
2020-05-05,128.07,129.92,126.1,126.65,31107366.0,IWM
2020-05-04,123.6,125.9,122.25,125.68,28431196.0,IWM
2020-05-01,127.15,127.46,123.29,125.14,42324450.0,IWM
2020-04-30,131.9,132.94,130.14,130.31,43483745.0,IWM
2020-04-29,133.49,136.845,131.875,135.46,50199291.0,IWM
2020-04-28,131.12,131.46,127.28,129.11,47181096.0,IWM
2020-04-27,123.95,128.44,123.86,127.26,38938748.0,IWM
2020-04-24,121.53,123.32,120.09,122.41,27180719.0,IWM
2020-04-23,120.11,122.9,119.68,120.34,38481467.0,IWM
2020-04-22,120.32,120.99,118.77,119.17,24322589.0,IWM
2020-04-21,117.42,119.24,116.48,117.74,31518350.0,IWM
2020-04-20,119.59,122.9,119.04,120.62,36553236.0,IWM
2020-04-17,121.9,122.72,120.06,122.06,46226489.0,IWM
2020-04-16,118.09,118.42,114.555,116.91,48146392.0,IWM
2020-04-15,117.83,119.11,116.66,117.8,34575985.0,IWM
2020-04-14,123.9,124.88,121.3,122.81,35068221.0,IWM
