,open,high,low,close,volume,symbol
2020-05-22,228.46,229.87,227.5,229.66,28762389.0,QQQ
2020-05-21,231.49,232.135,228.34,228.87,42240976.0,QQQ
2020-05-20,229.48,231.76,229.48,231.39,37417000.0,QQQ
2020-05-19,227.66,229.85,226.71,226.86,36237303.0,QQQ
2020-05-18,226.28,228.68,225.47,227.43,42597551.0,QQQ
2020-05-15,218.77,223.33,218.33,223.27,55747208.0,QQQ
2020-05-14,218.12,221.87,215.99,221.83,51549345.0,QQQ
2020-05-13,222.65,224.61,216.71,219.34,65521208.0,QQQ
2020-05-12,227.48,228.095,222.09,222.12,41054123.0,QQQ
2020-05-11,223.5,227.93,223.25,226.87,35714128.0,QQQ
2020-05-08,223.55,225.0,222.48,224.86,31964416.0,QQQ
2020-05-07,221.75,222.73,220.42,221.82,38624836.0,QQQ
2020-05-06,219.37,221.04,218.11,219.0,36455218.0,QQQ
2020-05-05,217.4,220.14,216.85,217.66,37783075.0,QQQ
2020-05-04,211.61,215.45,211.12,215.22,32841020.0,QQQ
2020-05-01,214.54,216.67,211.68,212.74,48794968.0,QQQ
2020-04-30,220.01,220.04,217.35,218.91,43359476.0,QQQ
2020-04-29,216.21,219.97,215.14,219.0,48716406.0,QQQ
2020-04-28,217.27,217.32,211.21,211.5,46862816.0,QQQ
2020-04-27,216.18,216.63,214.5,215.56,36451698.0,QQQ
2020-04-24,210.94,214.3,209.5,213.84,34303365.0,QQQ
2020-04-23,211.8,214.435,210.095,210.52,43278542.0,QQQ
2020-04-22,209.14,212.35,208.33,210.97,40188772.0,QQQ
2020-04-21,210.63,211.16,203.63,204.89,72932771.0,QQQ
2020-04-20,213.27,215.88,212.57,212.74,38249128.0,QQQ
2020-04-17,215.96,216.51,212.0801,215.29,62863223.0,QQQ
2020-04-16,211.78,214.369,209.69,213.25,64657362.0,QQQ
2020-04-15,208.48,211.8338,207.12,209.43,47035953.0,QQQ
2020-04-14,207.17,212.5,206.42,211.86,63959563.0,QQQ
2020-04-13,199.92,203.42,198.75,203.03,42853948.0,QQQ
2020-04-09,202.27,203.22,199.0281,200.86,68323929.0,QQQ
2020-04-08,198.0835,201.17,196.1733,200.57,45940439.0,QQQ
2020-04-07,202.14,202.66,196.0,196.4,69904478.0,QQQ
2020-04-06,190.38,197.65,189.19,196.48,64763518.0,QQQ
2020-04-03,185.5,187.0716,181.29,183.37,47487621.0,QQQ
2020-04-02,181.59,190.1,180.97,186.01,56465348.0,QQQ
2020-04-01,184.81,187.66,180.86,182.31,53715375.0,QQQ
2020-03-31,191.53,195.25,189.2,190.4,62659265.0,QQQ
2020-03-30,187.1,192.49,186.3406,192.04,49356936.0,QQQ
2020-03-27,186.93,190.5149,184.66,185.3,58844975.0,QQQ
2020-03-26,183.87,192.72,183.61,191.9,79887564.0,QQQ
2020-03-25,184.42,189.51,179.98,182.3,88754909.0,QQQ
2020-03-24,179.91,183.83,177.95,183.66,94881785.0,QQQ
2020-03-23,170.92,174.21,164.93,170.46,124639782.0,QQQ
2020-03-20,181.74,182.87,170.1,170.7,118983891.0,QQQ
2020-03-19,175.69,183.49,171.63,177.66,120896481.0,QQQ
2020-03-18,171.605,179.22,166.8,176.6,114156320.0,QQQ
2020-03-17,175.47,184.39,169.78,182.14,121257108.0,QQQ
2020-03-16,174.15,184.68,169.16,169.3,92054386.0,QQQ
2020-03-13,187.07,194.48,178.13,192.34,134881981.0,QQQ
2020-03-12,182.09,190.78,176.94,177.32,137820698.0,QQQ
2020-03-11,199.35,200.75,192.73,195.22,89168783.0,QQQ
2020-03-10,201.11,204.3,193.6802,204.11,100599233.0,QQQ
2020-03-09,193.48,201.16,192.11,193.57,116423986.0,QQQ
2020-03-06,204.67,209.15,202.91,208.02,89828392.0,QQQ
2020-03-05,212.69,216.36,210.1,211.59,78705458.0,QQQ
2020-03-04,213.32,218.33,211.37,218.22,73086209.0,QQQ
2020-03-03,217.11,219.61,207.62,209.48,131953546.0,QQQ
2020-03-02,208.88,216.57,205.94,216.42,112933945.0,QQQ
2020-02-28,198.92,207.17,198.17,205.8,149247073.0,QQQ
2020-02-27,211.05,216.4235,205.5,205.64,121822562.0,QQQ
2020-02-26,216.67,220.28,214.9,216.48,80400053.0,QQQ
2020-02-25,223.19,223.9879,214.74,215.37,97742982.0,QQQ
2020-02-24,221.84,224.25,220.26,221.39,84522551.0,QQQ
2020-02-21,233.64,234.01,229.3211,230.27,66058611.0,QQQ
2020-02-20,236.46,236.95,231.88,234.78,42604016.0,QQQ
2020-02-19,236.07,237.47,235.85,236.98,22230464.0,QQQ
2020-02-18,233.47,235.17,233.25,234.73,24521242.0,QQQ
2020-02-14,234.28,234.86,233.5501,234.64,23438530.0,QQQ
2020-02-13,232.62,234.93,232.36,233.97,22773159.0,QQQ
2020-02-12,233.34,234.38,232.8,234.27,24471275.0,QQQ
2020-02-11,233.21,234.02,231.3999,232.01,30197983.0,QQQ
2020-02-10,228.43,231.98,228.38,231.97,21478925.0,QQQ
2020-02-07,229.16,230.44,228.54,229.2,25884933.0,QQQ
2020-02-06,228.77,230.25,227.98,230.19,22467077.0,QQQ
2020-02-05,230.22,230.25,226.85,228.22,38534817.0,QQQ
2020-02-04,225.39,227.86,224.6523,227.47,30691211.0,QQQ
2020-02-03,220.14,222.885,219.99,222.38,25468307.0,QQQ
2020-01-31,223.5,223.56,218.285,219.07,52015832.0,QQQ
2020-01-30,220.37,222.7,219.6891,222.6,39568093.0,QQQ
2020-01-29,222.66,222.93,220.83,221.81,29063128.0,QQQ
2020-01-28,219.6,221.96,219.06,221.45,26731876.0,QQQ
2020-01-27,217.72,219.2845,217.18,218.1,42264418.0,QQQ
2020-01-24,225.62,225.88,221.6701,222.7,37436483.0,QQQ
2020-01-23,223.71,224.69,222.7,224.59,26496113.0,QQQ
2020-01-22,224.38,225.15,223.59,223.87,20736403.0,QQQ
2020-01-21,222.73,223.84,222.66,223.28,20813609.0,QQQ
2020-01-17,223.24,223.56,222.1221,223.38,24325167.0,QQQ
2020-01-16,221.24,222.32,220.8,222.28,18804959.0,QQQ
2020-01-15,220.18,221.2,219.45,220.17,25742084.0,QQQ
2020-01-14,220.75,221.21,219.74,220.08,24573340.0,QQQ
2020-01-13,219.31,220.98,218.98,220.95,22528847.0,QQQ
2020-01-10,219.76,219.87,218.04,218.43,21914631.0,QQQ
2020-01-09,218.91,219.41,217.7125,218.99,23641291.0,QQQ
2020-01-08,215.47,218.14,215.16,217.15,26464212.0,QQQ
2020-01-07,215.64,216.14,214.85,215.53,23120994.0,QQQ
2020-01-06,212.49,215.59,212.24,215.56,21726989.0,QQQ
2020-01-03,213.29,215.47,213.28,214.18,27532657.0,QQQ
2020-01-02,214.4,216.16,213.98,216.16,31014904.0,QQQ
2019-12-31,211.62,212.76,211.2,212.61,18201585.0,QQQ
2019-12-30,213.51,213.63,211.16,212.21,21829913.0,QQQ
2019-12-27,214.55,214.56,213.04,213.61,18142239.0,QQQ
2019-12-26,212.26,213.81,212.23,213.79,17159310.0,QQQ
2019-12-24,211.97,212.09,211.44,211.92,7089020.0,QQQ
2019-12-23,212.03,212.15,211.63,211.81,23798671.0,QQQ
2019-12-20,211.81,212.5186,211.27,211.71,27690934.0,QQQ
2019-12-19,209.64,210.93,209.62,210.86,17892062.0,QQQ
2019-12-18,209.6,210.13,209.33,209.55,15490828.0,QQQ
2019-12-17,209.5,209.71,209.04,209.39,16034647.0,QQQ
2019-12-16,208.5,209.53,208.48,209.27,21366177.0,QQQ
2019-12-13,206.36,207.91,205.96,207.19,32534393.0,QQQ
2019-12-12,204.77,207.32,204.491,206.51,32704625.0,QQQ
2019-12-11,204.37,205.19,204.04,204.98,18897759.0,QQQ
2019-12-10,204.17,204.88,203.44,203.9,21849714.0,QQQ
2019-12-09,204.63,205.5937,203.98,204.07,14032175.0,QQQ
2019-12-06,204.25,205.145,204.1501,205.0,16562247.0,QQQ
2019-12-05,203.15,203.15,201.84,202.83,15038785.0,QQQ
2019-12-04,202.49,202.91,202.14,202.43,15336754.0,QQQ
2019-12-03,200.21,201.49,199.23,201.41,31104100.0,QQQ
2019-12-02,205.11,205.18,201.78,203.0,28121020.0,QQQ
2019-11-29,205.59,205.83,205.0,205.1,9854553.0,QQQ
2019-11-27,205.13,206.05,204.89,206.04,17060233.0,QQQ
2019-11-26,204.32,204.87,204.05,204.61,14812921.0,QQQ
2019-11-25,202.67,204.26,202.67,204.22,17794718.0,QQQ
2019-11-22,202.17,202.32,200.74,201.83,17197019.0,QQQ
2019-11-21,201.94,202.07,201.07,201.7,17934353.0,QQQ
2019-11-20,202.85,203.45,200.62,202.15,36706275.0,QQQ
2019-11-19,203.84,203.84,202.59,203.37,16997568.0,QQQ
2019-11-18,202.61,203.39,201.77,203.07,18408797.0,QQQ
2019-11-15,202.61,202.91,202.0,202.91,18434519.0,QQQ
2019-11-14,200.83,201.56,200.22,201.43,17055686.0,QQQ
2019-11-13,200.84,201.775,200.71,201.59,16110341.0,QQQ
