,open,high,low,close,volume,symbol
2020-05-22,10.06,10.69,8.9,10.26,43098674.0,TLRY
2020-05-21,8.14,10.07,8.12,9.65,25552586.0,TLRY
2020-05-20,8.23,8.4,7.94,8.05,7283027.0,TLRY
2020-05-19,8.11,8.73,7.85,8.16,12193701.0,TLRY
2020-05-18,8.1,8.65,7.87,7.96,12351607.0,TLRY
2020-05-15,7.33,7.88,7.29,7.77,9821234.0,TLRY
2020-05-14,6.92,7.3,6.73,7.17,5820593.0,TLRY
2020-05-13,7.48,7.64,6.65,7.19,8298910.0,TLRY
2020-05-12,7.76,8.2,7.38,7.47,13358309.0,TLRY
2020-05-11,8.0,8.43,7.81,8.08,14512702.0,TLRY
2020-05-08,7.84,8.05,7.6,7.78,7975302.0,TLRY
2020-05-07,7.47,8.09,7.35,7.61,7032685.0,TLRY
2020-05-06,7.5,7.64,7.16,7.41,4977165.0,TLRY
2020-05-05,7.94,8.09,7.32,7.39,6662102.0,TLRY
2020-05-04,7.3,7.74,7.29,7.65,6267501.0,TLRY
2020-05-01,7.82,7.99,7.01,7.24,10784763.0,TLRY
2020-04-30,7.95,8.75,7.7,8.05,11916895.0,TLRY
2020-04-29,8.25,8.6,8.01,8.11,10628156.0,TLRY
2020-04-28,8.94,8.98,7.67,8.05,15457019.0,TLRY
2020-04-27,8.48,9.75,8.16,8.4,31896894.0,TLRY
2020-04-24,6.86,8.13,6.79,8.07,20569654.0,TLRY
2020-04-23,6.83,7.06,6.72,6.82,7693018.0,TLRY
2020-04-22,7.05,7.14,6.63,6.8,5949974.0,TLRY
2020-04-21,6.63,7.2,6.5,6.76,8420551.0,TLRY
2020-04-20,6.4,7.4299,6.35,6.76,12945450.0,TLRY
2020-04-17,6.64,6.84,6.32,6.5,8980950.0,TLRY
2020-04-16,6.51,6.5799,6.15,6.37,7652055.0,TLRY
2020-04-15,6.91,7.04,6.6,6.79,6378587.0,TLRY
2020-04-14,6.69,7.3,6.57,7.04,11935440.0,TLRY
2020-04-13,6.75,6.8,6.13,6.57,8589147.0,TLRY
2020-04-09,7.45,7.47,6.51,6.78,12378878.0,TLRY
2020-04-08,6.7,7.55,6.47,6.98,18336255.0,TLRY
2020-04-07,6.49,6.8,6.06,6.37,13905642.0,TLRY
2020-04-06,6.1,6.46,5.75,5.96,13169281.0,TLRY
2020-04-03,6.145,6.15,5.5,5.54,13148660.0,TLRY
2020-04-02,5.95,6.85,5.92,6.1,13982995.0,TLRY
2020-04-01,6.38,6.88,5.75,5.9,13066960.0,TLRY
