,open,high,low,close,volume,symbol
2020-05-22,35.0,35.43,34.2,34.35,15335165.0,VXX
2020-05-21,33.82,35.38,33.35,34.68,24281697.0,VXX
2020-05-20,34.36,35.09,33.7,33.7,32378005.0,VXX
2020-05-19,34.46,36.1,33.67,36.03,22905274.0,VXX
2020-05-18,34.1,34.92,33.81,34.24,25283266.0,VXX
2020-05-15,39.25,39.96,36.6,36.6,25214619.0,VXX
2020-05-14,41.57,42.86,37.47,37.47,34654462.0,VXX
2020-05-13,36.48,41.16,35.59,39.65,43224409.0,VXX
2020-05-12,31.71,36.0,31.42,35.9,24070891.0,VXX
2020-05-11,35.86,35.975,32.5,32.62,18899088.0,VXX
2020-05-08,36.46,36.73,34.95,34.95,19531811.0,VXX
2020-05-07,37.88,38.095,37.18,37.47,17533460.0,VXX
2020-05-06,37.98,39.275,37.7074,39.21,14991511.0,VXX
2020-05-05,38.7,38.95,37.56,38.67,17780758.0,VXX
2020-05-04,42.58,43.0,40.18,40.26,13467694.0,VXX
2020-05-01,41.1,42.07,40.31,41.19,20604467.0,VXX
2020-04-30,37.49,39.22,37.4401,37.87,16665375.0,VXX
2020-04-29,36.86,37.01,35.85,36.705,20155234.0,VXX
2020-04-28,37.1,39.5664,36.96,39.07,22654128.0,VXX
2020-04-27,40.46,40.47,37.91,38.46,23076265.0,VXX
2020-04-24,43.17,43.8,41.4607,41.52,14761824.0,VXX
2020-04-23,43.48,44.88,42.7,44.06,18513482.0,VXX
2020-04-22,44.72,45.58,43.71,44.19,16052389.0,VXX
2020-04-21,46.04,48.15,45.72,46.42,26077997.0,VXX
2020-04-20,41.17,43.0,40.13,42.84,19174420.0,VXX
2020-04-17,39.06,40.42,38.81,39.05,17943336.0,VXX
2020-04-16,40.84,41.93,40.33,40.74,18393093.0,VXX
2020-04-15,40.0,41.43,39.325,40.41,20754580.0,VXX
2020-04-14,38.29,38.62,37.0,37.41,17939963.0,VXX
2020-04-13,41.3,42.43,40.62,40.71,14784572.0,VXX
2020-04-09,42.13,42.89,41.375,41.57,23372415.0,VXX
2020-04-08,42.84,43.72,41.92,42.4,20801350.0,VXX
2020-04-07,40.91,43.66,40.7801,43.41,27980630.0,VXX
2020-04-06,42.11,43.0701,41.52,42.21,19720697.0,VXX
2020-04-03,47.08,47.85,45.0,45.45,26700856.0,VXX
2020-04-02,49.58,50.4,47.205,47.36,21485182.0,VXX
2020-04-01,49.5,50.89,47.06,50.22,19006428.0,VXX
2020-03-31,49.1,49.26,45.42,46.25,31346682.0,VXX
2020-03-30,50.52,51.9,48.58,48.63,31937588.0,VXX
2020-03-27,50.69,50.72,48.41,50.6,23375109.0,VXX
2020-03-26,49.39,49.71,45.61,45.62,31169602.0,VXX
2020-03-25,48.18,52.67,47.67,50.9,25257945.0,VXX
2020-03-24,41.75,47.74,39.5,47.15,36305333.0,VXX
2020-03-23,57.37,59.04,49.25,51.13,39066822.0,VXX
2020-03-20,59.5,63.08,52.52,60.55,56967437.0,VXX
2020-03-19,73.8,76.9,55.9,62.0,82592550.0,VXX
2020-03-18,66.1,78.84,61.85,69.0,75442492.0,VXX
2020-03-17,57.55,62.62,54.23,58.51,48972338.0,VXX
2020-03-16,55.0,61.97,51.54,59.21,48435580.0,VXX
2020-03-13,42.12,49.43,42.02,43.2,65789894.0,VXX
2020-03-12,45.05,48.78,41.55,47.36,64789341.0,VXX
2020-03-11,36.84,39.45,36.35,38.66,49079342.0,VXX
2020-03-10,33.0,37.16,32.77,34.11,59482160.0,VXX
2020-03-09,40.65,41.17,35.16,36.96,74358909.0,VXX
2020-03-06,31.6,32.68,29.24,29.82,138409068.0,VXX
2020-03-05,25.22,27.68,24.64,26.68,121190789.0,VXX
2020-03-04,23.4,24.29,22.74,23.0,87192206.0,VXX
2020-03-03,21.95,25.08,21.085,24.45,125164580.0,VXX
2020-03-02,22.2,23.605,21.91,22.03,111799807.0,VXX
2020-02-28,24.71,25.0,22.68,22.81,146003623.0,VXX
2020-02-27,20.65,22.0,20.11,22.0,168576605.0,VXX
2020-02-26,18.66,19.64,18.07,18.93,133366513.0,VXX
2020-02-25,17.09,19.85,16.93,19.34,179043032.0,VXX
2020-02-24,17.01,17.75,16.35,17.67,144365707.0,VXX
2020-02-21,14.48,15.3,14.34,14.9,86436776.0,VXX
2020-02-20,13.61,14.49,13.5,14.04,82428436.0,VXX
2020-02-19,13.5,13.66,13.42,13.56,35845504.0,VXX
2020-02-18,13.78,14.03,13.57,13.76,40845813.0,VXX
2020-02-14,13.58,13.815,13.47,13.52,33517437.0,VXX
2020-02-13,13.84,13.9694,13.53,13.69,33585358.0,VXX
2020-02-12,13.86,13.93,13.38,13.4,39446766.0,VXX
2020-02-11,13.92,14.18,13.8,14.12,36877056.0,VXX
2020-02-10,14.51,14.51,14.04,14.1,35482988.0,VXX
2020-02-07,14.5,14.67,14.15,14.38,46511026.0,VXX
2020-02-06,14.04,14.38,14.0,14.09,38547114.0,VXX
2020-02-05,14.29,14.73,14.2,14.2,47218047.0,VXX
2020-02-04,14.91,15.01,14.61,14.83,47106312.0,VXX
2020-02-03,15.79,16.02,15.2203,15.58,51934344.0,VXX
2020-01-31,14.91,16.7,14.91,16.2,107402797.0,VXX
2020-01-30,15.43,15.75,14.6,14.6,67048740.0,VXX
2020-01-29,14.53,15.09,14.42,14.85,41723200.0,VXX
2020-01-28,15.33,15.45,14.76,14.83,53526118.0,VXX
2020-01-27,15.5,15.73,15.12,15.71,82492182.0,VXX
2020-01-24,13.21,14.53,13.21,14.24,102475673.0,VXX
2020-01-23,13.75,13.97,13.45,13.49,34874017.0,VXX
2020-01-22,13.17,13.54,13.17,13.54,36362503.0,VXX
2020-01-21,13.45,13.52,13.15,13.43,41362381.0,VXX
2020-01-17,13.3,13.56,13.25,13.32,33434947.0,VXX
2020-01-16,13.42,13.455,13.26,13.29,28589346.0,VXX
2020-01-15,13.68,13.71,13.51,13.62,30255913.0,VXX
2020-01-14,13.79,13.9,13.51,13.66,33359429.0,VXX
2020-01-13,13.96,14.11,13.74,13.76,28151816.0,VXX
2020-01-10,14.17,14.285,13.96,14.12,32911895.0,VXX
2020-01-09,14.38,14.52,14.17,14.18,32056783.0,VXX
2020-01-08,14.91,15.0,14.33,14.8,48251904.0,VXX
2020-01-07,15.13,15.36,14.85,15.01,27347501.0,VXX
2020-01-06,15.78,15.7905,15.08,15.08,26052617.0,VXX
2020-01-03,15.67,15.74,14.95,15.29,48148371.0,VXX
2020-01-02,14.68,15.04,14.5,14.51,28300629.0,VXX
2019-12-31,15.97,16.06,15.06,15.12,33124751.0,VXX
2019-12-30,15.36,15.96,15.35,15.76,34244100.0,VXX
