Category,All trades,Long trades,Short trades
Absolute return,18140.33,14088.02,4052.31
Number of trades,46,17,29
Number of profitable trades,21,11,10
Trade,type,entryDate,entryPrice,exitDate,exitPrice,return,length
0,short,2017-07-14,2217.24,2017-07-20,2873.48,-656.2400000000002,6 days 00:00:00.000000000
1,long,2017-08-05,3243.49,2017-09-08,4350.0,1106.5100000000002,34 days 00:00:00.000000000
2,short,2017-09-08,4350.0,2017-09-27,4200.0,150.0,19 days 00:00:00.000000000
3,long,2017-09-30,4339.0,2017-11-11,6346.7,2007.6999999999998,42 days 00:00:00.000000000
4,short,2017-11-11,6346.7,2017-11-14,6605.0,-258.3000000000002,3 days 00:00:00.000000000
5,long,2017-11-16,7838.53,2017-12-22,14210.57,6372.04,36 days 00:00:00.000000000
6,short,2017-12-22,14210.57,2018-01-05,16960.01,-2749.4399999999987,14 days 00:00:00.000000000
7,short,2018-01-16,11570.01,2018-02-14,9472.98,2097.0300000000007,29 days 00:00:00.000000000
8,long,2018-02-19,11140.0,2018-03-07,9925.0,-1215.0,16 days 00:00:00.000000000
9,short,2018-03-07,9925.0,2018-04-12,7916.0,2009.0,36 days 00:00:00.000000000
10,long,2018-04-15,8355.25,2018-05-10,9010.51,655.2600000000002,25 days 00:00:00.000000000
11,short,2018-05-10,9010.51,2018-06-07,7684.93,1325.58,28 days 00:00:00.000000000
12,short,2018-06-10,6770.31,2018-07-02,6611.79,158.52000000000044,22 days 00:00:00.000000000
13,long,2018-07-17,7315.01,2018-08-03,7414.08,99.06999999999971,17 days 00:00:00.000000000
14,short,2018-08-03,7414.08,2018-08-23,6526.36,887.7200000000003,20 days 00:00:00.000000000
15,long,2018-08-27,6911.9,2018-09-05,6687.96,-223.9399999999996,9 days 00:00:00.000000000
16,short,2018-09-05,6687.96,2018-09-21,6750.0,-62.039999999999964,16 days 00:00:00.000000000
17,short,2018-10-11,6154.69,2018-10-26,6404.87,-250.1800000000003,15 days 00:00:00.000000000
18,long,2018-11-06,6448.5,2018-11-09,6334.89,-113.60999999999967,3 days 00:00:00.000000000
19,short,2018-11-09,6334.89,2018-12-18,3667.77,2667.1200000000003,39 days 00:00:00.000000000
20,short,2019-01-13,3514.24,2019-02-08,3622.0,-107.76000000000022,26 days 00:00:00.000000000
21,long,2019-02-09,3623.73,2019-03-04,3700.72,76.98999999999978,23 days 00:00:00.000000000
22,short,2019-03-04,3700.72,2019-03-05,3844.59,-143.87000000000035,1 days 00:00:00.000000000
23,long,2019-03-16,3990.0,2019-04-25,5134.81,1144.8100000000004,40 days 00:00:00.000000000
24,short,2019-04-25,5134.81,2019-04-30,5270.69,-135.8799999999992,5 days 00:00:00.000000000
25,long,2019-05-03,5657.4,2019-06-03,8107.96,2450.5600000000004,31 days 00:00:00.000000000
26,short,2019-06-03,8107.96,2019-06-13,8239.04,-131.08000000000084,10 days 00:00:00.000000000
27,long,2019-06-15,8860.23,2019-07-11,11349.0,2488.7700000000004,26 days 00:00:00.000000000
28,short,2019-07-11,11349.0,2019-07-12,11802.0,-453.0,1 days 00:00:00.000000000
29,short,2019-07-14,10185.03,2019-08-01,10405.94,-220.90999999999985,18 days 00:00:00.000000000
30,long,2019-08-04,10977.51,2019-08-14,10025.86,-951.6499999999996,10 days 00:00:00.000000000
31,short,2019-08-14,10025.86,2019-08-19,10920.0,-894.1399999999994,5 days 00:00:00.000000000
32,short,2019-08-28,9714.31,2019-09-02,10381.26,-666.9500000000007,5 days 00:00:00.000000000
33,short,2019-09-23,9693.74,2019-10-10,8587.5,1106.2399999999998,17 days 00:00:00.000000000
34,short,2019-10-23,7474.85,2019-10-25,8668.0,-1193.1499999999996,2 days 00:00:00.000000000
35,long,2019-10-26,9259.78,2019-11-08,8763.01,-496.77000000000044,13 days 00:00:00.000000000
36,short,2019-11-08,8763.01,2019-11-10,9032.23,-269.21999999999935,2 days 00:00:00.000000000
37,short,2019-11-14,8630.0,2019-12-08,7520.0,1110.0,24 days 00:00:00.000000000
38,short,2019-12-16,6877.03,2019-12-22,7513.06,-636.0300000000007,6 days 00:00:00.000000000
39,long,2020-01-06,7764.63,2020-01-25,8326.81,562.1799999999994,19 days 00:00:00.000000000
40,short,2020-01-25,8326.81,2020-01-26,8595.0,-268.1900000000005,1 days 00:00:00.000000000
41,long,2020-01-28,9394.5,2020-02-17,9700.0,305.5,20 days 00:00:00.000000000
42,short,2020-02-17,9700.0,2020-02-18,10188.04,-488.0400000000009,1 days 00:00:00.000000000
43,short,2020-02-25,9305.0,2020-03-25,6690.96,2614.04,29 days 00:00:00.000000000
44,long,2020-04-02,6804.52,2020-04-15,6624.12,-180.40000000000055,13 days 00:00:00.000000000
45,short,2020-04-15,6624.12,2020-04-16,7112.64,-488.52000000000044,1 days 00:00:00.000000000
